,originLabel,cultureLabel,ethnic_groupLabel,off_languageLabel,nameLabel,movementLabel,genreLabel,main_subjectLabel,memorializedLabel,sign_eventLabel,narrative_locLabel,countryLabel,taxonLabel,jurisdictionLabel,based_onLabel,part_ofLabel,native_labelLabel,cuisineLabel,areaLabel,used_byLabel,useLabel,political_ideoLabel,religionLabel,political_partyLabel,participant_inLabel,endemicLabel,indigenousLabel,country_sportLabel,subclass_ofLabel
207,None,None,None,None,None,None,rock music,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Christianity,None,None,None,None,None,None
208,None,None,None,None,None,Hussards,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,WWII Axis collaboration in France,None,None,None,None
209,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
210,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,philosophy
211,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,physician
212,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,keyboardist
213,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
214,None,None,None,None,None,None,None,None,None,None,None,Canada,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
215,None,None,None,None,None,None,None,None,None,None,None,None,Juys,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,tree
216,None,None,None,None,None,None,None,None,None,None,None,United States,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
217,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,stop-motion
218,None,None,None,None,None,None,None,None,None,None,None,None,plantes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,organism
219,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
220,None,None,None,None,None,None,None,None,None,None,None,Vatican City,None,Catholic Church,None,Catholic Church hierarchy,Pontifex Romanus,None,None,None,None,None,Catholicism,None,None,None,None,None,monarch
221,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,writing style
222,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,head of state
223,None,None,None,None,None,None,None,None,None,None,None,Kosovo,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
224,None,None,None,None,None,None,None,None,None,None,None,None,Algloomad,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,organism
225,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,building
226,None,None,None,None,None,None,None,None,None,None,None,None,Peer,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,tree
227,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Catholicism,Renovación Nacional,None,None,None,None,None
228,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
229,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,horeca,None,None,None,None,foodservice,None,None,None,None,None,None,None,building
230,None,None,None,German,None,None,None,None,None,None,None,Switzerland,None,None,None,RPV Zurzibiet Regio,None,None,None,None,None,None,None,None,None,None,None,None,None
231,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,folk dance
232,None,None,None,None,None,None,None,None,None,None,None,Switzerland,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
233,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,city
234,None,None,None,None,None,None,None,None,None,None,None,Spain,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
235,None,None,None,None,None,None,None,None,None,None,None,India,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,literary award
236,None,None,None,None,None,None,None,None,None,None,None,France,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
237,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,hardwood
238,None,None,None,None,None,None,None,None,None,None,None,None,plante à graines,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Plantae
239,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,manga
240,None,None,None,None,None,None,None,None,None,None,None,Japan,None,None,None,None,星雲賞,None,None,None,None,None,None,None,None,None,None,None,literary award
241,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
242,None,None,None,None,None,Beat Generation,None,None,None,None,None,France,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
243,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,fish
244,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,lumber
245,None,None,None,None,None,None,None,None,None,None,None,United Kingdom,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
246,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,manga
247,None,None,None,None,Spanish,None,None,None,None,None,None,United States,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
248,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,communication,None,None,None,None,None,None,None,None
249,None,None,None,None,None,None,None,None,None,None,None,Russia,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
250,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
251,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
252,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,skateboarder,sport,None,None,None,None,None,None,None,sports equipment
253,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,publisher
254,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,costume accessory
255,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,publisher
256,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,dance
257,None,None,None,None,None,None,None,None,None,None,None,United States,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
258,None,culture of South Korea,None,Korean,None,None,None,None,None,None,None,South Korea,None,None,None,East Asia,대한민국,None,None,None,None,None,Buddhism,None,None,None,None,None,None
259,United Kingdom,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,psychedelic rock
260,None,None,None,None,None,None,None,None,None,architectural reconstruction,None,Czech Republic,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
261,None,None,None,None,None,None,None,None,None,None,None,France,None,None,None,French Revolution,None,None,None,None,None,None,None,None,None,None,None,None,None
262,None,None,None,None,None,None,None,None,None,None,None,Japan,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
263,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,actor
264,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,river
265,None,None,None,None,None,None,None,Dua,None,None,None,None,None,None,None,worship in Islam,التَّصَوُّفُ,None,None,None,iḥsān,None,Islam,None,None,None,None,None,Islamic activity
266,Italy,None,None,None,None,None,drama film,None,None,None,Italy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
267,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,spice
268,None,None,None,None,None,None,None,None,None,None,None,Tajikistan,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
269,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
270,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,non-fiction writer
271,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,writing style
272,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,body language
273,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,television
274,France,None,None,None,None,None,drama film,None,None,None,Paris,None,None,None,None,None,None,None,None,None,None,None,None,None,25th European Film Awards,None,None,None,None
275,None,None,None,None,None,None,None,None,None,None,None,United Arab Emirates,None,None,None,world,None,None,None,None,None,None,None,None,None,None,None,None,None
276,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,river
277,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,television
278,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
279,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,specialized literature,None,None,None,None,None,None,None,None,None,None,None,None,magazine
280,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,traditionally animated film,None,None,None,None,None,None,None,animation
281,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,music tradition,None,None,None,None,None,None,None,None,None,None,None,None,folk music
282,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,train,None,None,None,rail and rope guided transport,None,None,None,None,None,None,None,rolling stock
283,None,None,None,None,None,None,None,None,None,None,None,Hungary,None,None,None,transport in the European Union,None,None,None,None,None,None,None,None,None,None,None,None,transport
284,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,publisher
285,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,berry
286,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
287,None,None,None,None,None,None,None,None,None,None,None,Italy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
288,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,mountain
289,None,None,None,None,None,None,None,None,None,Volkswagen emissions scandal,None,Germany,None,None,None,None,None,None,worldwide,None,None,None,None,None,None,None,None,None,None
290,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Candomblé,None,None,None,None,None,religion
291,France,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,pastry
292,None,None,None,None,None,None,None,None,None,None,None,Deutsches Kaiserreich,None,None,None,None,Wanderer,None,None,None,None,None,None,None,None,None,None,None,None
293,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,environment
294,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,architectural structure
295,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,author
296,None,None,None,None,None,Rococo,None,None,None,None,None,Germany,None,None,None,None,Würzburger Residenz,None,None,None,None,None,None,None,None,None,None,None,None
297,None,None,None,None,None,None,None,None,None,None,None,Qing dynasty,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,politician
298,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,atheism,None,The Academic Conference on Reform of the Belarusian Orthography and Alphabet,None,None,None,None
299,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
