,subclass_ofLabel
2501,Plantae
2502,station
2503,salad
2504,food
2505,None
2506,None
2507,None
2508,None
2509,None
2510,None
2511,Sunni Islam
2512,hand gesture
2513,gesture
2514,gesture
2515,gesture
2516,None
2517,None
2518,athlete
2519,None
2520,None
2521,sports equipment
2522,None
2523,None
2524,None
2525,None
2526,None
2527,None
2528,None
2529,literary award
2530,None
2531,None
2532,None
2533,None
2534,None
2535,None
2536,None
2537,None
2538,None
2539,None
2540,None
2541,city
2542,Plantae
2543,None
2544,None
2545,bebop
2546,electronic dance music
2547,None
2548,dish
2549,None
2550,None
2551,None
2552,aerophonist
2553,None
2554,None
2555,None
2556,None
2557,None
2558,Orthodox Judaism
2559,None
2560,None
2561,None
2562,None
2563,transport
2564,painting
2565,None
2566,mountain
2567,clothing
2568,None
2569,None
2570,None
2571,ritual
2572,religious figure
2573,None
2574,head movements
2575,politician
2576,screenwriter
2577,clothing
2578,head movements
2579,None
2580,metal musician
2581,None
2582,None
2583,None
2584,None
2585,None
2586,None
2587,film
2588,None
2589,None
2590,None
2591,None
2592,None
2593,None
2594,None
2595,None
2596,None
2597,None
2598,None
2599,hello
2600,None
2601,None
2602,None
2603,None
2604,None
2605,None
2606,None
2607,None
2608,None
2609,None
2610,None
2611,Plantae
2612,book
2613,None
2614,None
2615,Animalia
2616,heretic
2617,museum
2618,None
2619,None
2620,None
2621,None
2622,None
2623,None
2624,None
2625,None
2626,organism
2627,None
2628,None
2629,tomb
2630,None
2631,None
2632,textile
2633,None
2634,None
2635,religious movement
2636,organism
2637,organism
2638,None
2639,None
2640,monument
2641,None
2642,priest
2643,None
2644,sports competition
2645,government agency
2646,sport
2647,None
2648,None
2649,religious movement
2650,None
2651,state religion
2652,None
2653,musician
2654,None
2655,Japanese architecture
2656,None
2657,museum
2658,dance
2659,historical reenactment
2660,philosophy
2661,Shinto architecture
2662,None
2663,None
2664,religion
2665,dish
2666,neighborhood
2667,None
2668,None
2669,tradition
2670,sculpture
2671,None
2672,None
2673,fish dish
2674,None
2675,None
2676,sled
2677,None
2678,tradition
2679,None
2680,None
2681,organism
2682,greeting
2683,None
2684,None
2685,None
2686,None
2687,brass player
2688,musical group
2689,comics
2690,None
2691,None
2692,None
2693,architectural structure
2694,None
2695,None
2696,emergency vehicle
2697,organism
2698,None
2699,None
2700,soup
2701,cooking technique
2702,environment
2703,routing
2704,None
2705,None
2706,None
2707,building
2708,musical group
2709,model
2710,building
2711,magazine
2712,construction (economic activity)
2713,building material
2714,law
2715,None
2716,None
2717,None
2718,None
2719,None
2720,None
2721,None
2722,None
2723,None
2724,folk dance
2725,None
2726,egg dish
2727,None
2728,None
2729,None
2730,None
2731,folk dance
2732,toy
2733,velocipede
2734,policy
2735,hydrofoil
2736,political party
2737,None
2738,None
2739,None
2740,dish
2741,magazine
2742,literary work
2743,author
2744,None
2745,None
2746,building
2747,dance
2748,building
2749,None
2750,clothing
2751,artist
2752,organism
2753,literary genre
2754,sport
2755,government
2756,None
2757,poet
2758,None
2759,transport
2760,art movement
2761,textile
2762,None
2763,None
2764,automobile manufacturer
2765,None
2766,None
2767,None
2768,medical literature
2769,poetry
2770,None
2771,None
2772,climbing equipment
2773,sports equipment
2774,transport
2775,footwear
2776,government agency
2777,traditional costume
2778,None
2779,fish
2780,None
2781,None
2782,city
2783,food
2784,None
2785,religion
2786,poetry
2787,None
2788,None
2789,None
2790,None
2791,textile
2792,None
2793,None
2794,None
2795,None
2796,tree
2797,None
2798,None
2799,None
2800,construction (economic activity)
2801,sport
2802,None
2803,dairy product
2804,None
2805,artist
2806,None
2807,comedian
2808,None
2809,None
2810,None
2811,Inca art
2812,None
2813,None
2814,sleep
2815,book
2816,Catholicism
2817,city
2818,film
2819,None
2820,record label
2821,None
2822,None
2823,comics
2824,None
2825,philosophy
2826,religion
2827,Plantae
2828,None
2829,alternative rock
2830,philosophy
2831,None
2832,philosophy
2833,sport
2834,city
2835,musician
2836,food
2837,zone
2838,magazine
2839,magazine
2840,None
2841,policy
2842,None
2843,literary award
2844,None
2845,ingredient
2846,None
2847,None
2848,comics artist
2849,water transport
2850,sports equipment
2851,neighborhood
2852,None
2853,None
2854,mountain
2855,photographer
2856,None
2857,None
2858,None
2859,musician
2860,ritual
2861,None
2862,social inclusion
2863,politician
2864,neighborhood
2865,None
2866,television
2867,textile
2868,religious movement
2869,back of a mountain
2870,magazine
2871,paver
2872,transport
2873,None
2874,None
2875,None
2876,sport
2877,None
2878,animation technique
2879,museum
2880,choreographer
2881,transport
2882,sport
2883,musical improvisation
2884,traditional costume
2885,tradition
2886,Animalia
2887,news style
2888,ritual
2889,automobile manufacturer
2890,philosophical movement
2891,musical group
2892,None
2893,None
2894,folding screen
2895,Shinto architecture
2896,law
2897,religious leader
2898,religious movement
2899,landmass
2900,motorcycle race
2901,None
2902,None
2903,None
2904,stephanitic games
2905,None
2906,None
2907,law
2908,None
2909,None
2910,dish
2911,None
2912,None
2913,None
2914,None
2915,None
2916,None
2917,None
2918,None
2919,None
2920,None
2921,None
2922,None
2923,None
2924,None
2925,None
2926,None
2927,religion
2928,None
2929,None
2930,None
2931,None
2932,food
2933,None
2934,None
2935,None
2936,None
2937,None
2938,None
2939,None
2940,None
2941,None
2942,None
2943,horse race
2944,None
2945,poetry
2946,clothing
2947,None
2948,None
2949,None
2950,None
2951,None
2952,None
2953,None
2954,None
2955,None
2956,drummer
2957,musician
2958,poetry
2959,hip-hop
2960,None
2961,None
2962,None
2963,None
2964,None
2965,None
2966,None
2967,None
2968,bus
2969,None
2970,None
2971,clothing
2972,None
2973,None
2974,None
2975,None
2976,Korean court music
2977,None
2978,None
2979,None
2980,None
2981,philosophy
2982,None
2983,None
2984,None
2985,Biblical commentary
2986,dance
2987,religious movement
2988,Judaism
2989,tradition
2990,None
2991,None
2992,politician
2993,painting
2994,None
2995,None
2996,None
2997,None
2998,None
2999,None
3000,None
3001,None
3002,None
3003,None
3004,None
3005,None
3006,None
3007,None
3008,None
3009,None
3010,None
3011,None
3012,None
3013,None
3014,None
3015,None
3016,None
3017,None
3018,None
3019,None
3020,None
3021,None
3022,None
3023,None
3024,None
3025,None
3026,None
3027,None
3028,None
3029,None
3030,None
3031,None
3032,None
3033,None
3034,None
3035,None
3036,None
3037,dance
3038,None
3039,None
3040,pork
3041,None
3042,None
3043,None
3044,dance
3045,None
3046,None
3047,None
3048,None
3049,None
3050,None
3051,folk dance
3052,None
3053,None
3054,None
3055,None
3056,None
3057,None
3058,dance music
3059,None
3060,None
3061,None
3062,Abrahamic religion
3063,religious movement
3064,None
3065,recurring sporting event
3066,budoka
3067,None
3068,tree
3069,drink
3070,None
3071,None
3072,None
3073,None
3074,None
3075,None
3076,None
3077,hard dance
3078,tree
3079,literary award
3080,law
3081,None
3082,None
3083,None
3084,None
3085,None
3086,None
3087,None
3088,None
3089,None
3090,None
3091,None
3092,dance
3093,None
3094,clothing
3095,religious leader
3096,monument
3097,None
3098,None
3099,shield
3100,silent film
3101,None
3102,None
3103,None
3104,None
3105,None
3106,deontological ethics
3107,None
3108,None
3109,mon
3110,salad
3111,None
3112,None
3113,None
3114,None
3115,None
3116,None
3117,None
3118,None
3119,None
3120,None
3121,None
3122,Shinto architecture
3123,None
3124,None
3125,None
3126,None
3127,transport
3128,None
3129,None
3130,NASCAR truck series race
3131,tradition
3132,Kemetism
3133,None
3134,None
3135,None
3136,None
3137,None
3138,None
3139,None
3140,None
3141,None
3142,None
3143,organism
3144,textile
3145,clothing
3146,folk dance
3147,None
3148,clothing
3149,None
3150,mythology
3151,territory
3152,bread
3153,East Asian hip-and-gable roof
3154,sled
3155,transport
3156,neighborhood
3157,onarigami
3158,None
3159,river
3160,None
3161,None
3162,animation
3163,None
3164,None
3165,politician
3166,None
3167,None
3168,None
3169,None
3170,comics
3171,None
3172,None
3173,None
3174,None
3175,drama film
3176,None
3177,None
3178,None
3179,None
3180,None
3181,None
3182,None
3183,None
3184,singer
3185,None
3186,None
3187,vegetable
3188,None
3189,None
3190,None
3191,None
3192,folk dance
3193,None
3194,None
3195,Animalia
3196,None
3197,architectural structure
3198,None
3199,None
3200,None
3201,None
3202,pastry
3203,traditional costume
3204,None
3205,None
3206,None
3207,sport
3208,food
3209,None
3210,None
3211,sport
3212,None
3213,None
3214,None
3215,None
3216,None
3217,None
3218,politician
3219,None
3220,clothing
3221,None
3222,None
3223,None
3224,None
3225,1.HC
3226,None
3227,dance
3228,None
3229,equestrian sport
3230,None
3231,None
3232,None
3233,None
3234,None
3235,None
3236,folk dance
3237,None
3238,None
3239,dish
3240,None
3241,None
3242,textile
3243,cookie
3244,None
3245,None
3246,Gaelic football
3247,None
3248,None
3249,government agency
3250,food
3251,None
3252,textile
3253,None
3254,fish
3255,fish
3256,woven fabric
3257,ritual
3258,transport
3259,geographical feature
3260,architect
3261,None
3262,None
3263,None
3264,dance
3265,museum
3266,None
3267,None
3268,tree
3269,None
3270,None
3271,pasta dish
3272,tradition
3273,None
3274,None
3275,None
3276,None
3277,None
3278,poetry
3279,pop
3280,None
3281,poetry
3282,hymn
3283,food
3284,None
3285,None
3286,literary award
3287,None
3288,None
3289,historical profession
3290,geographic location
3291,government agency
3292,law
3293,law
3294,law
3295,law
3296,law
3297,law
3298,law
3299,legislation
3300,None
3301,law
3302,None
3303,religious leader
3304,ritual
3305,pasta
3306,None
3307,None
3308,None
3309,None
3310,None
3311,None
3312,politician
3313,building material
3314,None
3315,None
3316,None
3317,None
3318,knödel
3319,law
3320,None
3321,spiritualism
3322,politician
3323,None
3324,food
3325,None
3326,None
3327,None
3328,soup
3329,None
3330,None
3331,None
3332,None
3333,None
3334,None
3335,None
3336,None
3337,None
3338,None
3339,None
3340,building
3341,None
3342,jacket
3343,None
3344,comics artist
3345,athlete
3346,city
3347,None
3348,film festival
3349,hip-hop
3350,None
3351,None
3352,None
3353,None
3354,None
3355,religion
3356,Christian theology
3357,None
3358,pole
3359,None
3360,None
3361,None
3362,None
3363,None
3364,None
3365,None
3366,waffle
3367,ritual
3368,building
3369,magazine
3370,None
3371,visual arts
3372,None
3373,None
3374,None
3375,building material
3376,traditional animation
3377,book
3378,drink
3379,None
3380,building
3381,city
3382,textile
3383,textile
3384,None
3385,None
3386,Baroque horse
3387,None
3388,suit
3389,magnesium carbonate
3390,magazine
3391,None
3392,magazine
3393,None
3394,art movement
3395,None
3396,Animalia
3397,None
3398,magazine
3399,None
3400,book
3401,adoration
3402,None
3403,film
3404,animated film
3405,dish
3406,None
3407,None
3408,None
3409,folk dance
3410,None
3411,shawl
3412,government
3413,None
3414,archive
3415,sport
3416,None
3417,literary award
3418,None
3419,philosophy of science
3420,mathematician
3421,dance
3422,None
3423,food
3424,None
3425,None
3426,food
3427,None
3428,None
3429,None
3430,None
3431,book
3432,bishop
3433,None
3434,None
3435,None
3436,None
3437,None
3438,literary award
3439,None
3440,None
3441,None
3442,film
3443,literary award
3444,textile
3445,musical group
3446,None
3447,None
3448,None
3449,None
3450,None
3451,None
3452,None
3453,Voodoo Church
3454,None
3455,Lord's Supper
3456,film
3457,building
3458,construction (economic activity)
3459,building
3460,None
3461,literary award
3462,None
3463,None
3464,None
3465,None
3466,None
3467,None
3468,None
3469,None
3470,None
3471,folk theatre
3472,None
3473,None
3474,None
3475,None
3476,building material
3477,visual arts
3478,None
3479,light source
3480,cook
3481,plucked instrument player
3482,monument
3483,city
3484,None
3485,None
3486,None
3487,None
3488,None
3489,writer
3490,None
3491,literary award
3492,None
3493,None
3494,None
3495,None
3496,None
3497,actor
3498,traditional costume
3499,None
3500,None
3501,None
3502,None
3503,folk art
3504,None
3505,None
3506,dance
3507,None
3508,None
3509,food
3510,None
3511,law
3512,None
3513,None
3514,neighborhood
3515,None
3516,None
3517,None
3518,None
3519,None
3520,None
3521,None
3522,None
3523,None
3524,None
3525,record label
3526,political party
3527,religion
3528,Indonesian dance
3529,poet
3530,hairdresser
3531,None
3532,None
3533,food
3534,beignet
3535,clothing
3536,clothing
3537,comics
3538,motorcycle race
3539,organism
3540,None
3541,tree
3542,tree
3543,dance
3544,flatbread
3545,religion
3546,plucked instrument player
3547,None
3548,None
3549,comics artist
3550,None
3551,comics
3552,Animalia
3553,None
3554,None
3555,None
3556,None
3557,None
3558,None
3559,None
3560,traditional costume
3561,None
3562,None
3563,None
3564,None
3565,None
3566,None
3567,None
3568,None
3569,None
3570,literary award
3571,None
3572,None
3573,None
3574,None
3575,None
3576,None
3577,None
3578,None
3579,None
3580,None
3581,None
3582,voluntary association
3583,None
3584,None
3585,marriage
3586,None
3587,None
3588,None
3589,None
3590,None
3591,None
3592,None
3593,None
3594,None
3595,clothing
3596,poetry
3597,ritual
3598,theatre
3599,None
3600,activity
3601,None
3602,mathematician
3603,None
3604,religion
3605,None
3606,None
3607,None
3608,None
3609,painting
3610,None
3611,None
3612,None
3613,None
3614,None
3615,None
3616,music festival
3617,None
3618,None
3619,None
3620,None
3621,None
3622,None
3623,None
3624,music of Brazil
3625,None
3626,None
3627,clothing
3628,None
3629,politician
3630,None
3631,mausoleum
3632,None
3633,rapper
3634,None
3635,None
3636,food
3637,veal
3638,holding company
3639,building
3640,None
3641,healer
3642,symbol
3643,Western art
3644,football codes
3645,philosophy
3646,theatre
3647,neighborhood
3648,None
3649,film
3650,None
3651,magazine
3652,None
3653,multi-sport event
3654,clothing
3655,food
3656,None
3657,death metal
3658,film
3659,None
3660,None
3661,None
3662,memory space
3663,monument
3664,museum
3665,None
3666,None
3667,None
3668,book
3669,fish
3670,drink
3671,None
3672,dance
3673,dance
3674,None
3675,Gothic architecture
3676,mountain
3677,music festival
3678,None
3679,None
3680,metafiction
3681,fiction
3682,None
3683,sheet metal
3684,None
3685,None
3686,None
3687,None
3688,None
3689,None
3690,None
3691,drink
3692,None
3693,None
3694,None
3695,None
3696,None
3697,None
3698,None
3699,None
3700,None
3701,None
3702,None
3703,None
3704,None
3705,Animalia
3706,painting
3707,biologist
3708,neighborhood
3709,organism
3710,political party
3711,philosophy
3712,recurring sporting event
3713,None
3714,None
3715,greeting
3716,None
3717,None
3718,None
3719,None
3720,None
3721,None
3722,None
3723,None
3724,building
3725,government
3726,None
3727,law
3728,sport
3729,city
3730,food
3731,cake
3732,None
3733,None
3734,None
3735,None
3736,theatre
3737,H₂O
3738,building
3739,None
3740,None
3741,political party
3742,government agency
3743,ministry
3744,community development
3745,politician
3746,musician
3747,document
3748,None
3749,sequence
3750,None
3751,food
3752,organism
3753,ikebana
3754,None
3755,None
3756,None
3757,None
3758,None
3759,None
3760,dance
3761,musical group
3762,organism
3763,None
3764,folk dance
3765,None
3766,None
3767,sports equipment
3768,None
3769,athlete
3770,dish
3771,comics
3772,television
3773,None
3774,stop-motion
3775,organism
3776,religious leader
3777,poetry
3778,None
3779,None
3780,None
3781,pastry
3782,None
3783,None
3784,None
3785,None
3786,None
3787,None
3788,None
3789,None
3790,documentary film
3791,None
3792,None
3793,None
3794,None
3795,metaphysics
3796,dance
3797,anti-art
3798,book
3799,Christianity
3800,building
3801,city
3802,None
3803,None
3804,None
3805,None
3806,None
3807,None
3808,magazine
3809,None
3810,None
3811,None
3812,monument
3813,None
3814,None
3815,None
3816,None
3817,None
3818,None
3819,None
3820,sculpture
3821,None
3822,tree
3823,religion
3824,None
3825,None
3826,None
3827,None
3828,None
3829,None
3830,None
3831,None
3832,None
3833,None
3834,clothing
3835,None
3836,None
3837,folk dance
3838,tree
3839,None
3840,Romanesque art
3841,None
3842,None
3843,None
3844,None
3845,textile
3846,user interface
3847,None
3848,comics
3849,None
3850,None
3851,vehicle
3852,government agency
3853,taxi
3854,sport
3855,None
3856,None
3857,None
3858,None
3859,None
3860,river
3861,sport
3862,None
3863,athlete
3864,Animalia
3865,fish
3866,None
3867,belt conveyor
3868,None
3869,None
3870,mixture
3871,air-dried brick
3872,None
3873,None
3874,None
3875,jurist
3876,organism
3877,writer
3878,None
3879,None
3880,None
3881,city
3882,municipality
3883,government agency
3884,municipality
3885,administrative territorial entity of Switzerland
3886,mountain
3887,None
3888,None
3889,None
3890,monument
3891,None
3892,None
3893,None
3894,None
3895,None
3896,animal-powered transport
3897,organism
3898,music genre
3899,director
3900,music festival
3901,None
3902,music of the Middle East
3903,music of East Asia
3904,music of Latin America
3905,musical group
3906,musician
3907,None
3908,None
3909,None
3910,None
3911,None
3912,None
3913,None
3914,organism
3915,Plantae
3916,None
3917,film
3918,None
3919,fantasy
3920,None
3921,political party
3922,None
3923,None
3924,None
3925,None
3926,None
3927,Korean noodles
3928,snake worship
3929,pole weapon
3930,None
3931,None
3932,folk dance
3933,law
3934,None
3935,None
3936,organism
3937,folk dance
3938,None
3939,None
3940,None
3941,None
3942,None
3943,None
3944,dance
3945,None
3946,None
3947,literary award
3948,None
3949,city
3950,None
3951,organization
3952,None
3953,recurring sporting event
3954,None
3955,None
3956,None
3957,None
3958,None
3959,None
3960,government agency
3961,monument
3962,None
3963,None
3964,None
3965,literary award
3966,government agency
3967,None
3968,national symbol
3969,None
3970,None
3971,law
3972,policy
3973,None
3974,None
3975,None
3976,construction (economic activity)
3977,geographic location
3978,law
3979,religion
3980,None
3981,interpretation centre
3982,textile
3983,None
3984,tradition
3985,Plantae
3986,university and college admission
3987,neighborhood
3988,neighborhood
3989,neighborhood
3990,neighborhood
3991,neighborhood
3992,neighborhood
3993,neighborhood
3994,neighborhood
3995,neighborhood
3996,neighborhood
3997,neighborhood
3998,neighborhood
3999,neighborhood
4000,neighborhood
4001,None
4002,Animalia
4003,stephanitic games
4004,None
4005,burlesque
4006,None
4007,Western art
4008,modern architecture
4009,None
4010,None
4011,monument
4012,None
4013,None
4014,None
4015,textile
4016,sport
4017,None
4018,None
4019,None
4020,None
4021,None
4022,None
4023,biologist
4024,None
4025,None
4026,None
4027,None
4028,Reformed Christianity
4029,None
4030,None
4031,None
4032,horror film
4033,poetry
4034,None
4035,None
4036,religion
4037,None
4038,None
4039,literary award
4040,faith healing
4041,None
4042,weird fiction
4043,None
4044,None
4045,architect
4046,None
4047,literary award
4048,archive
4049,magazine
4050,snooker tournament
4051,Christianity
4052,None
4053,None
4054,None
4055,None
4056,None
4057,None
4058,None
4059,None
4060,None
4061,None
4062,literary award
4063,None
4064,None
4065,None
4066,None
4067,philosophy
4068,None
4069,None
4070,None
4071,None
4072,None
4073,None
4074,painting
4075,None
4076,None
4077,None
4078,None
4079,film
4080,drink
4081,neighborhood
4082,None
4083,None
4084,Nobel Prize
4085,None
4086,None
4087,rock music
4088,None
4089,philosophy
4090,religion
4091,Animalia
4092,None
4093,religion
4094,philosophical movement
4095,textile
4096,None
4097,political party
4098,neoclassicism
4099,drink
4100,None
4101,cabinet
4102,fish
4103,None
4104,None
4105,None
4106,singer-songwriter music
4107,xiaoshuo
4108,work of fiction
4109,writer
4110,None
4111,crisis
4112,None
4113,None
4114,tree
4115,Nurse
4116,mountain
4117,drink
4118,None
4119,Weibchen
4120,None
4121,None
4122,food
4123,None
4124,building material
4125,stop-motion
4126,None
4127,obscenity
4128,poetry
4129,recurring sporting event
4130,cephalopod as food
4131,None
4132,None
4133,None
4134,None
4135,modern paganism
4136,drink
4137,Plantae
4138,recurring sporting event
4139,theatre building
4140,motor car
4141,motion
4142,None
4143,government agency
4144,None
4145,architectural structure
4146,drink
4147,None
4148,painting
4149,fish
4150,None
4151,None
4152,None
4153,None
4154,None
4155,philosophy
4156,poetry
4157,drink
4158,None
4159,None
4160,organism
4161,multi-sport event
4162,sports competition
4163,None
4164,None
4165,None
4166,anthology film
4167,Animalia
4168,None
4169,None
4170,musician
4171,government
4172,None
4173,None
4174,None
4175,book
4176,film festival
4177,magazine
4178,None
4179,information access
4180,None
4181,policy
4182,None
4183,sport
4184,museum
4185,film
4186,record label
4187,musical group
4188,voice teacher
4189,None
4190,None
4191,None
4192,None
4193,None
4194,None
4195,None
4196,tennis tournament
4197,poetry
4198,None
4199,drink
4200,alcoholic beverage
4201,gesture
4202,law
4203,ritual
4204,law
4205,ritual
4206,building
4207,law
4208,None
4209,organism
4210,musician
4211,None
4212,None
4213,drink
4214,tree
4215,None
4216,musical group
4217,religion
4218,None
4219,None
4220,literary award
4221,None
4222,None
4223,None
4224,None
4225,Japanese cuisine
4226,None
4227,None
4228,None
4229,None
4230,New York-style cheesecake
4231,None
4232,None
4233,None
4234,None
4235,None
4236,None
4237,traditional costume
4238,None
4239,None
4240,necked bowl lutes sounded by plectrum
4241,None
4242,book
4243,clothing
4244,zone
4245,work of art
4246,architectural element
4247,protestant church
4248,meat
4249,None
4250,literary award
4251,None
4252,None
4253,None
4254,rustic architecture
4255,philosopher
4256,ritual
4257,sports equipment
4258,sport
4259,None
4260,None
4261,None
4262,None
4263,None
4264,house
4265,None
4266,None
4267,None
4268,None
4269,river
4270,None
4271,None
4272,None
4273,None
4274,None
4275,naturalist
4276,None
4277,traditional costume
4278,tradition
4279,None
4280,alcoholic beverage
4281,None
4282,music genre
4283,None
4284,None
4285,dish
4286,writer
4287,knödel
4288,recurring sporting event
4289,quick bread
4290,None
4291,comics
4292,None
4293,None
4294,panorama
4295,comics
4296,soup
4297,clothing
4298,toy
4299,Q657344
4300,folk dance
4301,New Wave film
4302,body language
4303,textile
4304,None
4305,recurring sporting event
4306,organism
4307,Plantae
4308,sport
4309,None
4310,religious leader
4311,None
4312,None
4313,None
4314,None
4315,None
4316,religion
4317,None
4318,dance
4319,None
4320,poetry
4321,war film
4322,None
4323,None
4324,politician
4325,None
4326,political party
4327,None
4328,politician
4329,politician
4330,dance
4331,None
4332,greeting
4333,folk dance
4334,dish
4335,monotheistic religion
4336,poetry
4337,organism
4338,None
4339,None
4340,None
4341,None
4342,None
4343,None
4344,None
4345,None
4346,None
4347,None
4348,None
4349,None
4350,None
4351,None
4352,None
4353,None
4354,None
4355,classical dance music
4356,road surface
4357,museum
4358,pole
4359,None
4360,dish
4361,drink
4362,drink
4363,None
4364,funeral
4365,fish
4366,None
4367,sports equipment
4368,None
4369,None
4370,None
4371,drink
4372,None
4373,None
4374,None
4375,None
4376,None
4377,Plantae
4378,poetry
4379,artist
4380,None
4381,None
4382,None
4383,geographic location
4384,monument
4385,mythology
4386,archive
4387,None
4388,None
4389,organism
4390,hospital
4391,None
4392,None
4393,None
4394,None
4395,None
4396,None
4397,None
4398,None
4399,None
4400,None
4401,None
4402,mural
4403,None
4404,vestment
4405,philosophy
4406,None
4407,None
4408,None
4409,jurist
4410,philosopher
4411,philosophy
4412,philosophy
4413,philosophy
4414,philosophy
4415,philosophy
4416,philosophy
4417,philosophy
4418,philosophy
4419,None
4420,media company
4421,comics
4422,book
4423,None
4424,None
4425,photographer
4426,None
4427,organism
4428,biologist
4429,fish
4430,food
4431,cut of beef
4432,None
4433,tree
4434,None
4435,musical group
4436,book
4437,ritual
4438,thoroughfare
4439,None
4440,None
4441,None
4442,None
4443,None
4444,drink
4445,Plantae
4446,model
4447,None
4448,None
4449,animation
4450,tree
4451,None
4452,transport
4453,religious leader
4454,political party
4455,None
4456,dish
4457,None
4458,athlete
4459,None
4460,None
4461,None
4462,None
4463,None
4464,None
4465,cook
4466,religion
4467,None
4468,building material
4469,None
4470,None
4471,None
4472,visual arts
4473,clothing
4474,drink
4475,None
4476,None
4477,None
4478,None
4479,None
4480,writer
4481,None
4482,None
4483,None
4484,None
4485,None
4486,model
4487,None
4488,neighborhood
4489,None
4490,poetry
4491,writer
4492,poet
4493,poet
4494,poet
4495,None
4496,None
4497,film
4498,poetry
4499,drink
4500,None
4501,organism
4502,geographic location
4503,transport
4504,None
4505,None
4506,gesture
4507,fish
4508,None
4509,architectural element
4510,dance
4511,geographic location
4512,None
4513,government agency
4514,politician
4515,politician
4516,drama film
4517,religious movement
4518,political party
4519,philosophy
4520,law
4521,politician
4522,Plantae
4523,None
4524,Animalia
4525,geographic location
4526,vodka
4527,folk dance
4528,singing
4529,modern paganism
4530,None
4531,bridge
4532,dance
4533,singer
4534,None
4535,dish
4536,None
4537,tree
4538,architectural element
4539,pornography
4540,thoroughfare
4541,government agency
4542,aperture
4543,None
4544,None
4545,None
4546,None
4547,None
4548,painting
4549,colonization
4550,comics
4551,politician
4552,None
4553,play
4554,construction (economic activity)
4555,paradigm
4556,museum
4557,Soviet architecture
4558,None
4559,dance
4560,religion
4561,postmodern art
4562,dish
4563,None
4564,majority
4565,animation
4566,drink
4567,food
4568,philosophy
4569,None
4570,None
4571,drink
4572,None
4573,gesture
4574,None
4575,folk dance
4576,book
4577,building material
4578,fish
4579,ritual
4580,politician
4581,politician
4582,city
4583,religion
4584,None
4585,literary award
4586,literary award
4587,literary award
4588,literary award
4589,president
4590,President of the Church
4591,president
4592,None
4593,None
4594,None
4595,politician
4596,None
4597,religious leader
4598,government agency
4599,city
4600,literary award
4601,None
4602,None
4603,poet
4604,musician
4605,city
4606,archive
4607,transport
4608,policy
4609,museum
4610,city
4611,transport
4612,None
4613,None
4614,None
4615,None
4616,None
4617,None
4618,proclamation
4619,None
4620,production company
4621,company
4622,art director
4623,athlete
4624,None
4625,None
4626,None
4627,None
4628,None
4629,spatial reference system
4630,political party
4631,street
4632,None
4633,marketing
4634,propaganda
4635,designer
4636,biography
4637,poetry
4638,prostitution policy
4639,geographic location
4640,Christianity
4641,province
4642,None
4643,cabinet
4644,None
4645,None
4646,None
4647,philosophy
4648,horror film
4649,philosophy
4650,building
4651,historian
4652,law
4653,law
4654,None
4655,philosophy
4656,policy
4657,None
4658,government agency
4659,toilet
4660,dish
4661,dessert
4662,None
4663,None
4664,None
4665,None
4666,literary award
4667,policy
4668,dish
4669,puppetry
4670,None
4671,kabaddi
4672,designer
4673,stop-motion
4674,kleinkunst
4675,None
4676,mountain
4677,None
4678,None
4679,None
4680,Plantae
4681,None
4682,None
4683,tree
4684,None
4685,None
4686,law
4687,None
4688,poetry
4689,None
4690,None
4691,policy
4692,neighborhood
4693,neighborhood
4694,architectural structure
4695,dance
4696,None
4697,literary award
4698,dance
4699,gesture
4700,None
4701,None
4702,None
4703,religious leader
4704,None
4705,musician
4706,None
4707,None
4708,film
4709,None
4710,sports equipment
4711,potato dish
4712,None
4713,None
4714,None
4715,None
4716,architectural structure
4717,painting
4718,None
4719,musician
4720,freight transport
4721,rail and rope guided transport
4722,transport company
4723,public transport stop
4724,None
4725,None
4726,None
4727,ritual
4728,gesture
4729,yoga
4730,None
4731,None
4732,None
4733,organism
4734,building material
4735,None
4736,book
4737,Plantae
4738,vocalist
4739,hip-hop
4740,None
4741,None
4742,None
4743,None
4744,None
4745,None
4746,transport company
4747,None
4748,documentary film
4749,None
4750,None
4751,social conflict
4752,Crusades
4753,media company
4754,musician
4755,None
4756,None
4757,None
4758,fish
4759,None
4760,layer cake
4761,neighborhood
4762,occurrence
4763,construction (economic activity)
4764,None
4765,None
4766,document
4767,None
4768,None
4769,law
4770,None
4771,None
4772,administrative territorial entity of the Philippines
4773,government
4774,None
4775,city
4776,Agricultural economy and agricultural policy in the German Reich (1933-1945)
4777,None
4778,None
4779,None
4780,None
4781,world view
4782,religion
4783,religion
4784,nationalism
4785,philosophical movement
4786,occurrence
4787,experimental film
4788,None
4789,food
4790,None
4791,None
4792,Roman law
4793,sports team
4794,neighborhood
4795,neighborhood
4796,architectural structure
4797,sports team
4798,None
4799,Plantae
4800,None
4801,government agency
4802,photographic film
4803,musical group
4804,government
4805,poet
4806,None
4807,None
4808,None
4809,None
4810,None
4811,None
4812,None
4813,None
4814,None
4815,None
4816,None
4817,None
4818,None
4819,None
4820,Jura regalia
4821,None
4822,None
4823,law
4824,None
4825,None
4826,None
4827,monument
4828,model
4829,ritual
4830,None
4831,None
4832,None
4833,None
4834,None
4835,None
4836,book
4837,poet
4838,ritual
4839,None
4840,ritual
4841,ritual
4842,None
4843,None
